datetime,total_number,day_type,ticket_type,service,Month_Year,Year,As Quarter,Fiscal Year
2012-07-01 10:00:00,2060,Weekday,Ticketed,Loop Original,2012-07,2012,2013Q1,2013
2012-08-01 10:00:00,2347,Weekday,Ticketed,Loop Original,2012-08,2012,2013Q1,2013
2012-09-01 10:00:00,2152,Weekday,Ticketed,Loop Original,2012-09,2012,2013Q1,2013
2012-10-01 10:00:00,2695,Weekday,Ticketed,Loop Original,2012-10,2012,2013Q2,2013
2012-11-01 10:00:00,1877,Weekday,Ticketed,Loop Original,2012-11,2012,2013Q2,2013
2012-12-01 10:00:00,1725,Weekday,Ticketed,Loop Original,2012-12,2012,2013Q2,2013
2013-01-01 10:00:00,2534,Weekday,Ticketed,Loop Original,2013-01,2013,2013Q3,2013
2013-02-01 10:00:00,1850,Weekday,Ticketed,Loop Original,2013-02,2013,2013Q3,2013
2013-03-01 10:00:00,1855,Weekday,Ticketed,Loop Original,2013-03,2013,2013Q3,2013
2013-04-01 10:00:00,2226,Weekday,Ticketed,Loop Original,2013-04,2013,2013Q4,2013
2013-05-01 10:00:00,2443,Weekday,Ticketed,Loop Original,2013-05,2013,2013Q4,2013
2013-06-01 10:00:00,2105,Weekday,Ticketed,Loop Original,2013-06,2013,2013Q4,2013
2013-07-01 10:00:00,2163,Weekday,Ticketed,Loop Original,2013-07,2013,2014Q1,2014
2013-08-01 10:00:00,1997,Weekday,Ticketed,Loop Original,2013-08,2013,2014Q1,2014
2013-09-01 10:00:00,1784,Weekday,Ticketed,Loop Original,2013-09,2013,2014Q1,2014
2013-10-01 10:00:00,4449,Weekday,Ticketed,Loop Original,2013-10,2013,2014Q2,2014
2013-11-01 10:00:00,3228,Weekday,Ticketed,Loop Original,2013-11,2013,2014Q2,2014
2013-12-01 10:00:00,2387,Weekday,Ticketed,Loop Original,2013-12,2013,2014Q2,2014
2014-01-01 10:00:00,3640,Weekday,Ticketed,Loop Original,2014-01,2014,2014Q3,2014
2014-02-01 10:00:00,3112,Weekday,Ticketed,Loop Original,2014-02,2014,2014Q3,2014
2014-03-01 10:00:00,3002,Weekday,Ticketed,Loop Original,2014-03,2014,2014Q3,2014
2014-04-01 10:00:00,4369,Weekday,Ticketed,Loop Original,2014-04,2014,2014Q4,2014
2014-05-01 10:00:00,3550,Weekday,Ticketed,Loop Original,2014-05,2014,2014Q4,2014
2014-06-01 10:00:00,1981,Weekday,Ticketed,Loop Original,2014-06,2014,2014Q4,2014
2014-07-01 10:00:00,2227,Weekday,Ticketed,Loop Original,2014-07,2014,2015Q1,2015
2014-08-01 10:00:00,1860,Weekday,Ticketed,Loop Original,2014-08,2014,2015Q1,2015
2014-09-01 10:00:00,2289,Weekday,Ticketed,Loop Original,2014-09,2014,2015Q1,2015
2014-10-01 10:00:00,2591,Weekday,Ticketed,Loop Original,2014-10,2014,2015Q2,2015
2014-11-01 10:00:00,762,Weekday,Ticketed,Loop Original,2014-11,2014,2015Q2,2015
2014-12-01 10:00:00,1595,Weekday,Ticketed,Loop Original,2014-12,2014,2015Q2,2015
2015-01-01 10:00:00,1693,Weekday,Ticketed,Loop Original,2015-01,2015,2015Q3,2015
2015-02-01 10:00:00,1863,Weekday,Ticketed,Loop Original,2015-02,2015,2015Q3,2015
2015-03-01 10:00:00,1764,Weekday,Ticketed,Loop Original,2015-03,2015,2015Q3,2015
2015-04-01 10:00:00,2028,Weekday,Ticketed,Loop Original,2015-04,2015,2015Q4,2015
2015-05-01 10:00:00,3734,Weekday,Ticketed,Loop Original,2015-05,2015,2015Q4,2015
2015-06-01 10:00:00,2843,Weekday,Ticketed,Loop Original,2015-06,2015,2015Q4,2015
2015-07-01 10:00:00,2762,Weekday,Ticketed,Loop Original,2015-07,2015,2016Q1,2016
